# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+2.7000000000000002e+00 +3.8995962495410787e-03 +1.6315727443810825e+01 +3.2439168057923566e+11 
+2.8000000000000003e+00 +3.8994725929558660e-03 +1.6316081282686987e+01 +3.2669800263488440e+11 
+2.9000000000000004e+00 +3.8993352431934488e-03 +1.6317021404569257e+01 +3.2851066046716315e+11 
+3.0000000000000000e+00 +3.8991811608415569e-03 +1.6318740986416959e+01 +3.2963321425450616e+11 
+3.1000000000000001e+00 +3.8990079933119291e-03 +1.6321386597197350e+01 +3.2991893916516003e+11 
+3.2000000000000002e+00 +3.8988161353121229e-03 +1.6324918373914468e+01 +3.2941997032531763e+11 
+3.3000000000000003e+00 +3.8986066683736947e-03 +1.6329249845580406e+01 +3.2823815785099951e+11 
+3.4000000000000004e+00 +3.8983806740281700e-03 +1.6334294541208099e+01 +3.2647535185796686e+11 
+3.5000000000000000e+00 +3.8981392338070975e-03 +1.6339965989809656e+01 +3.2423340246229749e+11 
+3.6000000000000001e+00 +3.8978834292419978e-03 +1.6346177720398515e+01 +3.2161415977949030e+11 
+3.7000000000000002e+00 +3.8976143418644328e-03 +1.6352843261986251e+01 +3.1871947392584375e+11 
+3.8000000000000003e+00 +3.8973330532059186e-03 +1.6359876143586188e+01 +3.1565119501693726e+11 
+3.9000000000000004e+00 +3.8970406447980058e-03 +1.6367189894210739e+01 +3.1251117316870062e+11 
+4.0000000000000000e+00 +3.8967381981722276e-03 +1.6374698042872250e+01 +3.0940125849711047e+11 
+4.1000000000000005e+00 +3.8964274554628368e-03 +1.6382282264419818e+01 +3.0644519327895343e+11 
+4.2000000000000002e+00 +3.8961128012149362e-03 +1.6389696817047206e+01 +3.0385428843521704e+11 
+4.2999999999999998e+00 +3.8957992805763648e-03 +1.6396664104783781e+01 +3.0186174704813757e+11 
+4.4000000000000004e+00 +3.8954919386949261e-03 +1.6402906531660189e+01 +3.0070077219948157e+11 
+4.5000000000000000e+00 +3.8951958207184487e-03 +1.6408146501706074e+01 +3.0060456697139447e+11 
+4.6000000000000005e+00 +3.8949159717947632e-03 +1.6412106418951215e+01 +3.0180633444596204e+11 
+4.7000000000000002e+00 +3.8946574370716950e-03 +1.6414508687425386e+01 +3.0453927770526483e+11 
+4.8000000000000007e+00 +3.8944252616970516e-03 +1.6415075711158899e+01 +3.0903659983123029e+11 
+4.9000000000000004e+00 +3.8942244908186795e-03 +1.6413529894181085e+01 +3.1553150390606354e+11 
+5.0000000000000000e+00 +3.8940601695843843e-03 +1.6409593640522431e+01 +3.2425719301160120e+11 
+5.1000000000000005e+00 +3.8939340088094848e-03 +1.6403175897748749e+01 +3.3528272239110577e+11 
+5.2000000000000002e+00 +3.8938343819792652e-03 +1.6394931787570830e+01 +3.4802055593202521e+11 
+5.3000000000000007e+00 +3.8937463282464747e-03 +1.6385702975235933e+01 +3.6171900968289081e+11 
+5.4000000000000004e+00 +3.8936548867639135e-03 +1.6376331125990664e+01 +3.7562639969234271e+11 
+5.5000000000000000e+00 +3.8935450966843450e-03 +1.6367657905081916e+01 +3.8899104200899792e+11 
+5.6000000000000005e+00 +3.8934019971605246e-03 +1.6360524977757070e+01 +4.0106125268132281e+11 
+5.7000000000000002e+00 +3.8932106273452346e-03 +1.6355774009262795e+01 +4.1108534775797577e+11 
+5.8000000000000007e+00 +3.8929560263912446e-03 +1.6354246664846166e+01 +4.1831164328749854e+11 
+5.9000000000000004e+00 +3.8926232334513216e-03 +1.6356784609754246e+01 +4.2198845531842487e+11 
+6.0000000000000000e+00 +3.8921972876782441e-03 +1.6364229509233695e+01 +4.2136409989945215e+11 
+6.1000000000000005e+00 +3.8916684794836126e-03 +1.6377124698335500e+01 +4.1595567953794672e+11 
+6.2000000000000002e+00 +3.8910481043144332e-03 +1.6394820191323987e+01 +4.0635544257740424e+11 
+6.3000000000000007e+00 +3.8903527088765288e-03 +1.6416367672267835e+01 +3.9342442381998413e+11 
+6.4000000000000004e+00 +3.8895988398757343e-03 +1.6440818825235272e+01 +3.7802365806804297e+11 
+6.5000000000000000e+00 +3.8888030440178871e-03 +1.6467225334294721e+01 +3.6101418012379474e+11 
+6.6000000000000005e+00 +3.8879818680088271e-03 +1.6494638883514206e+01 +3.4325702478968427e+11 
+6.7000000000000002e+00 +3.8871518585543818e-03 +1.6522111156962410e+01 +3.2561322686782690e+11 
+6.8000000000000007e+00 +3.8863295623603861e-03 +1.6548693838707635e+01 +3.0894382116056885e+11 
+6.9000000000000004e+00 +3.8855315261326689e-03 +1.6573438612818297e+01 +2.9410984247013971e+11 
+7.0000000000000000e+00 +3.8847742965770846e-03 +1.6595397163362318e+01 +2.8197232559898944e+11 
+7.1000000000000005e+00 +3.8840701283472849e-03 +1.6613862491953938e+01 +2.7317531348799258e+11 
+7.2000000000000002e+00 +3.8834141078882664e-03 +1.6629092870390046e+01 +2.6749488163266348e+11 
+7.3000000000000007e+00 +3.8827970295928689e-03 +1.6641587888012829e+01 +2.6449011366728082e+11 
+7.4000000000000004e+00 +3.8822096878539177e-03 +1.6651847134164726e+01 +2.6372009322608438e+11 
+7.5000000000000000e+00 +3.8816428770642500e-03 +1.6660370198187927e+01 +2.6474390394337363e+11 
+7.6000000000000005e+00 +3.8810873916166997e-03 +1.6667656669424922e+01 +2.6712062945333646e+11 
+7.7000000000000002e+00 +3.8805340259040898e-03 +1.6674206137218082e+01 +2.7040935339023599e+11 
+7.8000000000000007e+00 +3.8799735743192667e-03 +1.6680518190909606e+01 +2.7416915938833017e+11 
+7.9000000000000004e+00 +3.8793968312550442e-03 +1.6687092419842067e+01 +2.7795913108185364e+11 
+8.0000000000000000e+00 +3.8787945911042776e-03 +1.6694428413357340e+01 +2.8133835210517322e+11 
+8.0999999999999996e+00 +3.8781595070812220e-03 +1.6702925976608832e+01 +2.8395206154590497e+11 
+8.2000000000000011e+00 +3.8774916676858943e-03 +1.6712585777992352e+01 +2.8579012030561279e+11 
+8.3000000000000007e+00 +3.8767930202397885e-03 +1.6723308701713002e+01 +2.8692854473991425e+11 
+8.4000000000000004e+00 +3.8760655120643572e-03 +1.6734995631977309e+01 +2.8744335120382214e+11 
+8.5000000000000000e+00 +3.8753110904810608e-03 +1.6747547452991512e+01 +2.8741055605251013e+11 
+8.5999999999999996e+00 +3.8745317028113669e-03 +1.6760865048961563e+01 +2.8690617564128699e+11 
+8.7000000000000011e+00 +3.8737292963767576e-03 +1.6774849304093078e+01 +2.8600622632548724e+11 
+8.8000000000000007e+00 +3.8729058184986806e-03 +1.6789401102592674e+01 +2.8478672446016785e+11 
+8.9000000000000004e+00 +3.8720632164986066e-03 +1.6804421328666276e+01 +2.8332368640058557e+11 
+9.0000000000000000e+00 +3.8712034376980039e-03 +1.6819810866519852e+01 +2.8169312850201276e+11 
+9.0999999999999996e+00 +3.8703279872415812e-03 +1.6835485698037232e+01 +2.7996514538650012e+11 
+9.2000000000000011e+00 +3.8694366015669546e-03 +1.6851422195814425e+01 +2.7818614474315497e+11 
+9.3000000000000007e+00 +3.8685285749349985e-03 +1.6867611830125121e+01 +2.7639661252786560e+11 
+9.4000000000000004e+00 +3.8676032016065659e-03 +1.6884046071243226e+01 +2.7463703469650983e+11 
+9.5000000000000000e+00 +3.8666597758425223e-03 +1.6900716389442355e+01 +2.7294789720510062e+11 
+9.6000000000000014e+00 +3.8656975919037482e-03 +1.6917614254996025e+01 +2.7136968600957550e+11 
+9.7000000000000011e+00 +3.8647159440510842e-03 +1.6934731138178432e+01 +2.6994288706570862e+11 
+9.8000000000000007e+00 +3.8637141265454060e-03 +1.6952058509263086e+01 +2.6870798632951538e+11 
+9.9000000000000004e+00 +3.8626914336475793e-03 +1.6969587838523704e+01 +2.6770546975691266e+11 
+1.0000000000000000e+01 +3.8616471596184666e-03 +1.6987310596233943e+01 +2.6697582330387173e+11 
+1.0100000000000001e+01 +3.8605806145160068e-03 +1.7005228116260952e+01 +2.6654128236713022e+11 
+1.0200000000000001e+01 +3.8594911715865163e-03 +1.7023381186842478e+01 +2.6635108010778293e+11 
+1.0300000000000001e+01 +3.8583782198733847e-03 +1.7041820459810076e+01 +2.6633619912760275e+11 
+1.0400000000000000e+01 +3.8572411484200085e-03 +1.7060596586994791e+01 +2.6642762202852081e+11 
+1.0500000000000000e+01 +3.8560793462697604e-03 +1.7079760220228220e+01 +2.6655633141235410e+11 
+1.0600000000000001e+01 +3.8548922024660560e-03 +1.7099362011340958e+01 +2.6665330988120764e+11 
+1.0700000000000001e+01 +3.8536791060522755e-03 +1.7119452612164675e+01 +2.6664954003678937e+11 
+1.0800000000000001e+01 +3.8524394460718184e-03 +1.7140082674530287e+01 +2.6647600448112134e+11 
+1.0900000000000000e+01 +3.8511726115680561e-03 +1.7161302850269557e+01 +2.6606368581593222e+11 
+1.1000000000000000e+01 +3.8498779915844047e-03 +1.7183163791213097e+01 +2.6534356664329852e+11 
+1.1100000000000001e+01 +3.8485549869798452e-03 +1.7205701437698814e+01 +2.6426903324765796e+11 
+1.1200000000000001e+01 +3.8472030458758014e-03 +1.7228892884089074e+01 +2.6288308664427374e+11 
+1.1300000000000001e+01 +3.8458216282092786e-03 +1.7252700513253135e+01 +2.6125113153093640e+11 
+1.1400000000000000e+01 +3.8444101939172984e-03 +1.7277086708059894e+01 +2.5943857260548053e+11 
+1.1500000000000000e+01 +3.8429682029368847e-03 +1.7302013851378042e+01 +2.5751081456584720e+11 
+1.1600000000000001e+01 +3.8414951152050463e-03 +1.7327444326076826e+01 +2.5553326210980362e+11 
+1.1700000000000001e+01 +3.8399903906588058e-03 +1.7353340515025000e+01 +2.5357131993525961e+11 
+1.1800000000000001e+01 +3.8384534892351753e-03 +1.7379664801091778e+01 +2.5169039273995645e+11 
+1.1900000000000000e+01 +3.8368838708711796e-03 +1.7406379567145720e+01 +2.4995588522191040e+11 
+1.2000000000000000e+01 +3.8352809955038217e-03 +1.7433447196056285e+01 +2.4843320207877188e+11 
+1.2100000000000001e+01 +3.8336442575587406e-03 +1.7460847222719078e+01 +2.4716630912478168e+11 
+1.2200000000000001e+01 +3.8319727894159622e-03 +1.7488627790138942e+01 +2.4611341663879306e+11 
+1.2300000000000001e+01 +3.8302656579441334e-03 +1.7516854193347442e+01 +2.4521129601600064e+11 
+1.2400000000000000e+01 +3.8285219300119014e-03 +1.7545591727376081e+01 +2.4439671865163791e+11 
+1.2500000000000000e+01 +3.8267406724878977e-03 +1.7574905687256837e+01 +2.4360645594077228e+11 
+1.2600000000000001e+01 +3.8249209522407653e-03 +1.7604861368021350e+01 +2.4277727927859317e+11 
+1.2700000000000001e+01 +3.8230618361391692e-03 +1.7635524064700689e+01 +2.4184596006045081e+11 
+1.2800000000000001e+01 +3.8211623910517269e-03 +1.7666959072327131e+01 +2.4074926968134518e+11 
+1.2900000000000000e+01 +3.8192216838470933e-03 +1.7699231685932101e+01 +2.3942397953649161e+11 
+1.3000000000000000e+01 +3.8172387813939020e-03 +1.7732407200547438e+01 +2.3780686102102496e+11 
+1.3100000000000001e+01 +3.8152129558142356e-03 +1.7766521984195368e+01 +2.3586370473921689e+11 
+1.3200000000000001e+01 +3.8131443002438858e-03 +1.7801496696861726e+01 +2.3367637813122931e+11 
+1.3300000000000001e+01 +3.8110331130721182e-03 +1.7837223071522128e+01 +2.3135576784658926e+11 
+1.3400000000000000e+01 +3.8088796926881189e-03 +1.7873592841154117e+01 +2.2901276053416721e+11 
+1.3500000000000000e+01 +3.8066843374811553e-03 +1.7910497738733167e+01 +2.2675824284355243e+11 
+1.3600000000000001e+01 +3.8044473458404521e-03 +1.7947829497235972e+01 +2.2470310142390091e+11 
+1.3700000000000001e+01 +3.8021690161552345e-03 +1.7985479849639116e+01 +2.2295822292441003e+11 
+1.3800000000000001e+01 +3.7998496468147590e-03 +1.8023340528918244e+01 +2.2163449399461206e+11 
+1.3900000000000000e+01 +3.7974895362082391e-03 +1.8061303268050491e+01 +2.2084280128347607e+11 
+1.4000000000000000e+01 +3.7950889827249195e-03 +1.8099259800011726e+01 +2.2069403144050571e+11 
+1.4100000000000001e+01 +3.7926475860151606e-03 +1.8137156905078168e+01 +2.2125092702515207e+11 
+1.4200000000000001e+01 +3.7901621507739265e-03 +1.8175161552721608e+01 +2.2238365423914706e+11 
+1.4300000000000001e+01 +3.7876287829572771e-03 +1.8213495759714753e+01 +2.2391423519404807e+11 
+1.4400000000000000e+01 +3.7850435885213177e-03 +1.8252381542828708e+01 +2.2566469200195737e+11 
+1.4500000000000000e+01 +3.7824026734221070e-03 +1.8292040918836111e+01 +2.2745704677445569e+11 
+1.4600000000000001e+01 +3.7797021436157467e-03 +1.8332695904508306e+01 +2.2911332162360126e+11 
+1.4700000000000001e+01 +3.7769381050583111e-03 +1.8374568516617398e+01 +2.3045553866113306e+11 
+1.4800000000000001e+01 +3.7741066637058903e-03 +1.8417880771935010e+01 +2.3130571999900290e+11 
+1.4900000000000000e+01 +3.7712039255145676e-03 +1.8462854687233108e+01 +2.3148588774901727e+11 
+1.5000000000000000e+01 +3.7682259964404094e-03 +1.8509712279283889e+01 +2.3081806402294116e+11 
+1.5100000000000001e+01 +3.7651705943981114e-03 +1.8558563952274220e+01 +2.2921929079598410e+11 
+1.5200000000000001e+01 +3.7620418851367497e-03 +1.8609073660051600e+01 +2.2698668949686447e+11 
+1.5300000000000001e+01 +3.7588456463639886e-03 +1.8660793743879317e+01 +2.2451240141736890e+11 
+1.5400000000000000e+01 +3.7555876557875015e-03 +1.8713276545020051e+01 +2.2218856784955136e+11 
+1.5500000000000000e+01 +3.7522736911149721e-03 +1.8766074404736717e+01 +2.2040733008529968e+11 
+1.5600000000000001e+01 +3.7489095300540518e-03 +1.8818739664292590e+01 +2.1956082941649918e+11 
+1.5700000000000001e+01 +3.7455009503124300e-03 +1.8870824664950185e+01 +2.2004120713517264e+11 
+1.5800000000000001e+01 +3.7420537295977732e-03 +1.8921881747972716e+01 +2.2224060453318460e+11 
+1.5900000000000000e+01 +3.7385736456177466e-03 +1.8971463254623131e+01 +2.2655116290246445e+11 
+1.6000000000000000e+01 +3.7350664760800417e-03 +1.9019121526163961e+01 +2.3336502353505573e+11 
+1.6100000000000001e+01 +3.7315355049137942e-03 +1.9064564969216281e+01 +2.4294352221785236e+11 
+1.6199999999999999e+01 +3.7279740409340992e-03 +1.9108126251831784e+01 +2.5502477271785788e+11 
+1.6300000000000001e+01 +3.7243728991775394e-03 +1.9150294107419388e+01 +2.6921608329738815e+11 
+1.6400000000000002e+01 +3.7207228946806799e-03 +1.9191557269388749e+01 +2.8512476221845532e+11 
+1.6500000000000000e+01 +3.7170148424800920e-03 +1.9232404471149309e+01 +3.0235811774315979e+11 
+1.6600000000000001e+01 +3.7132395576123609e-03 +1.9273324446110149e+01 +3.2052345813372394e+11 
+1.6699999999999999e+01 +3.7093878551140583e-03 +1.9314805927680574e+01 +3.3922809165231567e+11 
+1.6800000000000001e+01 +3.7054505500217316e-03 +1.9357337649270750e+01 +3.5807932656075775e+11 
+1.6900000000000002e+01 +3.7014184573719985e-03 +1.9401408344288765e+01 +3.7668447112162292e+11 
+1.7000000000000000e+01 +3.6972823922013969e-03 +1.9447506746145010e+01 +3.9465083359668457e+11 
+1.7100000000000001e+01 +3.6930344597719579e-03 +1.9496035272529777e+01 +4.1164150200618622e+11 
+1.7199999999999999e+01 +3.6886719262474851e-03 +1.9547051078259706e+01 +4.2754268340159979e+11 
+1.7300000000000001e+01 +3.6841933480172306e-03 +1.9600525002432459e+01 +4.4229636459257153e+11 
+1.7400000000000002e+01 +3.6795972814704504e-03 +1.9656427884145636e+01 +4.5584453238870087e+11 
+1.7500000000000000e+01 +3.6748822829963824e-03 +1.9714730562497355e+01 +4.6812917359945227e+11 
+1.7600000000000001e+01 +3.6700469089842769e-03 +1.9775403876585514e+01 +4.7909227503431628e+11 
+1.7699999999999999e+01 +3.6650897158233948e-03 +1.9838418665507554e+01 +4.8867582350295459e+11 
+1.7800000000000001e+01 +3.6600092599029807e-03 +1.9903745768361460e+01 +4.9682180581487329e+11 
+1.7900000000000002e+01 +3.6548040976122822e-03 +1.9971356024245054e+01 +5.0347220877959399e+11 
+1.8000000000000000e+01 +3.6494727853405465e-03 +2.0041220272256272e+01 +5.0856901920663312e+11 
+1.8100000000000001e+01 +3.6440147351002343e-03 +2.0113255477924636e+01 +5.1213349919014807e+11 
+1.8199999999999999e+01 +3.6384327813965989e-03 +2.0187163112508227e+01 +5.1450401196214392e+11 
+1.8300000000000001e+01 +3.6327306143580673e-03 +2.0262590773697600e+01 +5.1609819603904358e+11 
+1.8400000000000002e+01 +3.6269119241131246e-03 +2.0339186059181944e+01 +5.1733368993765399e+11 
+1.8500000000000000e+01 +3.6209804007901990e-03 +2.0416596566652036e+01 +5.1862813217430975e+11 
+1.8600000000000001e+01 +3.6149397345177584e-03 +2.0494469893797394e+01 +5.2039916126575568e+11 
+1.8699999999999999e+01 +3.6087936154242349e-03 +2.0572453638308662e+01 +5.2306441572832629e+11 
+1.8800000000000001e+01 +3.6025457336380986e-03 +2.0650195397875411e+01 +5.2704153407872485e+11 
+1.8900000000000002e+01 +3.5961997792877880e-03 +2.0727342770187914e+01 +5.3274815483348315e+11 
+1.9000000000000000e+01 +3.5897594425017701e-03 +2.0803543352935986e+01 +5.4060191650918500e+11 
+1.9100000000000001e+01 +3.5832281927877727e-03 +2.0878472105761837e+01 +5.5095078024434338e+11 
+1.9200000000000003e+01 +3.5766086171706685e-03 +2.0951913436115685e+01 +5.6386399766540576e+11 
+1.9300000000000001e+01 +3.5699030820546410e-03 +2.1023679113399268e+01 +5.7934114302092017e+11 
+1.9400000000000002e+01 +3.5631139538438387e-03 +2.1093580907014864e+01 +5.9738179055933069e+11 
+1.9500000000000000e+01 +3.5562435989424284e-03 +2.1161430586364805e+01 +6.1798551452896216e+11 
+1.9600000000000001e+01 +3.5492943837545812e-03 +2.1227039920850817e+01 +6.4115188917846118e+11 
+1.9700000000000003e+01 +3.5422686746844571e-03 +2.1290220679875162e+01 +6.6688048875619397e+11 
+1.9800000000000001e+01 +3.5351688381362288e-03 +2.1350784632839737e+01 +6.9517088751069812e+11 
+1.9900000000000002e+01 +3.5279972405140446e-03 +2.1408543549147002e+01 +7.2602265969033997e+11 
+2.0000000000000000e+01 +3.5207562482220773e-03 +2.1463309198198900e+01 +7.5943537954358435e+11 
+2.0100000000000001e+01 +3.5134470831518268e-03 +2.1514917670159768e+01 +7.9539395257596143e+11 
+2.0200000000000003e+01 +3.5060663891440503e-03 +2.1563302338245414e+01 +8.3382460932012964e+11 
+2.0300000000000001e+01 +3.4986096655268426e-03 +2.1608420896433842e+01 +8.7463891156585413e+11 
+2.0400000000000002e+01 +3.4910724116283048e-03 +2.1650231038702810e+01 +9.1774842110292615e+11 
+2.0500000000000000e+01 +3.4834501267765124e-03 +2.1688690459030870e+01 +9.6306469972091345e+11 
+2.0600000000000001e+01 +3.4757383102995807e-03 +2.1723756851395521e+01 +1.0104993092097164e+12 
+2.0700000000000003e+01 +3.4679324615255985e-03 +2.1755387909774857e+01 +1.0599638113590221e+12 
+2.0800000000000001e+01 +3.4600280797826449e-03 +2.1783541328147233e+01 +1.1113697679584763e+12 
+2.0900000000000002e+01 +3.4520206643988260e-03 +2.1808174800490537e+01 +1.1646287407978289e+12 
+2.1000000000000000e+01 +3.4439057147022320e-03 +2.1829246020782712e+01 +1.2196522916668342e+12 
+2.1100000000000001e+01 +3.4356804112504586e-03 +2.1846694231896514e+01 +1.2763694603440139e+12 
+2.1200000000000003e+01 +3.4273486595190277e-03 +2.1860384872285127e+01 +1.3347791985625715e+12 
+2.1300000000000001e+01 +3.4189160462130127e-03 +2.1870164929295225e+01 +1.3948979360449229e+12 
+2.1400000000000002e+01 +3.4103881580374424e-03 +2.1875881390274653e+01 +1.4567421025130540e+12 
+2.1500000000000000e+01 +3.4017705816973423e-03 +2.1877381242571172e+01 +1.5203281276890122e+12 
+2.1600000000000001e+01 +3.3930689038977795e-03 +2.1874511473531701e+01 +1.5856724412951152e+12 
+2.1700000000000003e+01 +3.3842887113437695e-03 +2.1867119070504184e+01 +1.6527914730533801e+12 
+2.1800000000000001e+01 +3.3754355907403763e-03 +2.1855051020835699e+01 +1.7217016526860154e+12 
+2.1900000000000002e+01 +3.3665151287926359e-03 +2.1838154311873755e+01 +1.7924194099151931e+12 
+2.2000000000000000e+01 +3.3575329122055770e-03 +2.1816275930965919e+01 +1.8649611744630237e+12 
+2.2100000000000001e+01 +3.3484970174738854e-03 +2.1789020031614282e+01 +1.9394516871117124e+12 
+2.2200000000000003e+01 +3.3394254802508161e-03 +2.1755019431937107e+01 +2.0164489328847964e+12 
+2.2300000000000001e+01 +3.3303388259792572e-03 +2.1712664116207669e+01 +2.0966192078657625e+12 
+2.2400000000000002e+01 +3.3212575801020851e-03 +2.1660344068699256e+01 +2.1806288081380977e+12 
+2.2500000000000000e+01 +3.3122022680622180e-03 +2.1596449273684186e+01 +2.2691440297855903e+12 
+2.2600000000000001e+01 +3.3031934153025101e-03 +2.1519369715436529e+01 +2.3628311688914829e+12 
+2.2700000000000003e+01 +3.2942515472658643e-03 +2.1427495378229050e+01 +2.4623565215394028e+12 
+2.2800000000000001e+01 +3.2853971893951717e-03 +2.1319216246334697e+01 +2.5683863838129565e+12 
+2.2900000000000002e+01 +3.2766508671333195e-03 +2.1192922304026524e+01 +2.6815870517957246e+12 
+2.3000000000000000e+01 +3.2680331059231978e-03 +2.1047003535577627e+01 +2.8026248215712300e+12 
+2.3100000000000001e+01 +3.2595592935350257e-03 +2.0880317058273942e+01 +2.9318763460225200e+12 
+2.3200000000000003e+01 +3.2512242670483227e-03 +2.0693588521452696e+01 +3.0685597052305845e+12 
+2.3300000000000001e+01 +3.2430177258699722e-03 +2.0488010707463374e+01 +3.2116033360760410e+12 
+2.3400000000000002e+01 +3.2349293694068260e-03 +2.0264776398656096e+01 +3.3599356754393364e+12 
+2.3500000000000000e+01 +3.2269488970657523e-03 +2.0025078377380304e+01 +3.5124851602012017e+12 
+2.3600000000000001e+01 +3.2190660082536101e-03 +1.9770109425986234e+01 +3.6681802272419697e+12 
+2.3700000000000003e+01 +3.2112704023772609e-03 +1.9501062326823501e+01 +3.8259493134423149e+12 
+2.3800000000000001e+01 +3.2035517788435801e-03 +1.9219129862241793e+01 +3.9847208556827764e+12 
+2.3900000000000002e+01 +3.1958998370594277e-03 +1.8925504814590980e+01 +4.1434232908439053e+12 
+2.4000000000000000e+01 +3.1883042764316609e-03 +1.8621379966220953e+01 +4.3009850558062305e+12 
+2.4100000000000001e+01 +3.1807389163957885e-03 +1.8308714113810630e+01 +4.4555083520966865e+12 
+2.4200000000000003e+01 +3.1731140565019163e-03 +1.7992530111354213e+01 +4.6017904398282295e+12 
+2.4300000000000001e+01 +3.1653241163287719e-03 +1.7678616827175894e+01 +4.7338023437599023e+12 
+2.4400000000000002e+01 +3.1572635154550888e-03 +1.7372763129599324e+01 +4.8455150886509316e+12 
+2.4500000000000000e+01 +3.1488266734596248e-03 +1.7080757886947804e+01 +4.9308996992606553e+12 
+2.4600000000000001e+01 +3.1399080099211068e-03 +1.6808389967545196e+01 +4.9839272003482734e+12 
+2.4700000000000003e+01 +3.1304019444182598e-03 +1.6561448239715777e+01 +4.9985686166727432e+12 
+2.4800000000000001e+01 +3.1202028965298498e-03 +1.6345721571782370e+01 +4.9687949729936006e+12 
+2.4900000000000002e+01 +3.1092052858346037e-03 +1.6166998832068888e+01 +4.8885772940700029e+12 
+2.5000000000000000e+01 +3.0973035319112594e-03 +1.6031068888899128e+01 +4.7518866046611250e+12 
+2.5100000000000001e+01 +3.0844357158390872e-03 +1.5941336090068223e+01 +4.5553047869852686e+12 
+2.5200000000000003e+01 +3.0707145646995718e-03 +1.5891666701254655e+01 +4.3058571530979297e+12 
+2.5300000000000001e+01 +3.0562964670747079e-03 +1.5873542467609036e+01 +4.0131798725135103e+12 
+2.5400000000000002e+01 +3.0413378115464935e-03 +1.5878445134281741e+01 +3.6869091147464224e+12 
+2.5500000000000000e+01 +3.0259949866969348e-03 +1.5897856446423013e+01 +3.3366810493111865e+12 
+2.5600000000000001e+01 +3.0104243811080443e-03 +1.5923258149182915e+01 +2.9721318457223398e+12 
+2.5700000000000003e+01 +2.9947823833618194e-03 +1.5946131987711839e+01 +2.6028976734943354e+12 
+2.5800000000000001e+01 +2.9792253820402682e-03 +1.5957959707160079e+01 +2.2386147021416528e+12 
+2.5900000000000002e+01 +2.9639097657253926e-03 +1.5950223052677870e+01 +1.8889191011787686e+12 
+2.6000000000000000e+01 +2.9489919229992098e-03 +1.5914403769415195e+01 +1.5634470401202925e+12 
