# multipoles
# s[mm] polynom_a[n=1][T/m^n] polynom_a[n=5][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=13][T/m^n] 
+4.8000000000000007e+00 +1.4655484958979395e+00 +3.7986984097561175e+06 -3.5470892954304250e+13 -2.6779043968587203e+20 
+4.9000000000000004e+00 +1.4655351576848386e+00 +3.8022100838304339e+06 -3.5712213200074430e+13 -2.6330322423166455e+20 
+5.0000000000000000e+00 +1.4655216389838921e+00 +3.8056088917861935e+06 -3.5923760118347922e+13 -2.6020682013997390e+20 
+5.1000000000000005e+00 +1.4655080018279822e+00 +3.8088621817215951e+06 -3.6101696297318305e+13 -2.5856110577614530e+20 
+5.2000000000000002e+00 +1.4654941622493236e+00 +3.8120413550274665e+06 -3.6258122082128812e+13 -2.5783477261855008e+20 
+5.3000000000000007e+00 +1.4654799997799648e+00 +3.8152438264214424e+06 -3.6409122257978680e+13 -2.5734871539170374e+20 
+5.4000000000000004e+00 +1.4654653939519207e+00 +3.8185670106416917e+06 -3.6570781612245008e+13 -2.5642382875806532e+20 
+5.5000000000000000e+00 +1.4654502242971801e+00 +3.8221083224441311e+06 -3.6759184934632203e+13 -2.5438100730449566e+20 
+5.6000000000000005e+00 +1.4654343703478729e+00 +3.8259651764910109e+06 -3.6990417003520078e+13 -2.5054114596899311e+20 
+5.7000000000000002e+00 +1.4654177116359606e+00 +3.8302349875573735e+06 -3.7280562610881906e+13 -2.4422513926897271e+20 
+5.8000000000000007e+00 +1.4654001276935358e+00 +3.8350151703313813e+06 -3.7645706538284555e+13 -2.3475388204300144e+20 
+5.9000000000000004e+00 +1.4653814980525186e+00 +3.8404031396088935e+06 -3.8101933579876023e+13 -2.2144826874679476e+20 
+6.0000000000000000e+00 +1.4653617022450960e+00 +3.8464963100207807e+06 -3.8665328510639406e+13 -2.0362919441674371e+20 
+6.1000000000000005e+00 +1.4653406836765188e+00 +3.8533287082055714e+06 -3.9340980246239930e+13 -1.8108760481383812e+20 
+6.2000000000000002e+00 +1.4653186412451549e+00 +3.8606808082834273e+06 -4.0089994200735305e+13 -1.5549465055491493e+20 
+6.3000000000000007e+00 +1.4652958377227725e+00 +3.8682696961732740e+06 -4.0862479904546836e+13 -1.2899153371891920e+20 
+6.4000000000000004e+00 +1.4652725358811174e+00 +3.8758124578078832e+06 -4.1608546889740914e+13 -1.0371945633426756e+20 
+6.5000000000000000e+00 +1.4652489984918531e+00 +3.8830261791704781e+06 -4.2278304694220750e+13 -8.1819620252832760e+19 
+6.6000000000000005e+00 +1.4652254883266789e+00 +3.8896279462220152e+06 -4.2821862853223734e+13 -6.5433227409102504e+19 
+6.7000000000000002e+00 +1.4652022681574095e+00 +3.8953348448513267e+06 -4.3189330893659633e+13 -5.6701479988398506e+19 
+6.8000000000000007e+00 +1.4651796007556082e+00 +3.8998639611051683e+06 -4.3330818360885211e+13 -5.7765579615774925e+19 
+6.9000000000000004e+00 +1.4651577488930778e+00 +3.9029323808788210e+06 -4.3196434782491984e+13 -7.0766728457009725e+19 
+7.0000000000000000e+00 +1.4651369753415560e+00 +3.9042571901130918e+06 -4.2736289691595023e+13 -9.7846128507061289e+19 
+7.1000000000000005e+00 +1.4651173963418260e+00 +3.9037027378021362e+06 -4.1925975146299547e+13 -1.4006589402182453e+20 
+7.2000000000000002e+00 +1.4650985420114024e+00 +3.9017224248477374e+06 -4.0843013270792156e+13 -1.9417178929981266e+20 
+7.3000000000000007e+00 +1.4650797959368449e+00 +3.8989169152094214e+06 -3.9590408715010508e+13 -2.5583049087322522e+20 
+7.4000000000000004e+00 +1.4650605417048381e+00 +3.8958868727680622e+06 -3.8271166119556562e+13 -3.2070867556130508e+20 
+7.5000000000000000e+00 +1.4650401629019028e+00 +3.8932329615072100e+06 -3.6988290137170039e+13 -3.8447301981076672e+20 
+7.6000000000000005e+00 +1.4650180431147128e+00 +3.8915558453175933e+06 -3.5844785409793977e+13 -4.4279020039668328e+20 
+7.7000000000000002e+00 +1.4649935659298530e+00 +3.8914561881436869e+06 -3.4943656585623402e+13 -4.9132689390385201e+20 
+7.8000000000000007e+00 +1.4649661149338966e+00 +3.8935346539347102e+06 -3.4387908313236719e+13 -5.2574977690896715e+20 
+7.9000000000000004e+00 +1.4649350737135185e+00 +3.8983919065826219e+06 -3.4280545234846219e+13 -5.4172552617616055e+20 
+8.0000000000000000e+00 +1.4648998258552519e+00 +3.9066286100585400e+06 -3.4724572001466016e+13 -5.3492081820988205e+20 
+8.0999999999999996e+00 +1.4648599622430596e+00 +3.9186322340300702e+06 -3.5786064535360383e+13 -5.0255883751574497e+20 
+8.2000000000000011e+00 +1.4648159029498444e+00 +3.9339374713859772e+06 -3.7383383892435883e+13 -4.4808879916187032e+20 
+8.3000000000000007e+00 +1.4647682753458962e+00 +3.9518658207304468e+06 -3.9397962401659883e+13 -3.7651642616939302e+20 
+8.4000000000000004e+00 +1.4647177068014898e+00 +3.9717387806768273e+06 -4.1711232393099883e+13 -2.9284744152559315e+20 
+8.5000000000000000e+00 +1.4646648246868448e+00 +3.9928778498702622e+06 -4.4204626200419656e+13 -2.0208756811016916e+20 
+8.5999999999999996e+00 +1.4646102563722505e+00 +4.0146045269203670e+06 -4.6759576153423797e+13 -1.0924252891561815e+20 
+8.7000000000000011e+00 +1.4645546292278990e+00 +4.0362403104834859e+06 -4.9257514586823922e+13 -1.9318046794229613e+19 
+8.8000000000000007e+00 +1.4644985706241409e+00 +4.0571066991321687e+06 -5.1579873826196312e+13 +6.2680155134881145e+19 
+8.9000000000000004e+00 +1.4644427079311799e+00 +4.0765251915212609e+06 -5.3608086206341594e+13 +1.3174635402660784e+20 
+9.0000000000000000e+00 +1.4643876685192272e+00 +4.0938172863042569e+06 -5.5223584061982430e+13 +1.8287482703463904e+20 
+9.0999999999999996e+00 +1.4643338756863555e+00 +4.1085114356437344e+06 -5.6343639240023789e+13 +2.1257591114998258e+20 
+9.2000000000000011e+00 +1.4642809364416309e+00 +4.1209639060277566e+06 -5.7028881669877312e+13 +2.2342418374005277e+20 
+9.3000000000000007e+00 +1.4642282537218418e+00 +4.1317379175415160e+06 -5.7375780803424828e+13 +2.1951028232252106e+20 
+9.4000000000000004e+00 +1.4641752304638036e+00 +4.1413966902523693e+06 -5.7480806090424266e+13 +2.0492484434940300e+20 
+9.5000000000000000e+00 +1.4641212696043653e+00 +4.1505034442073023e+06 -5.7440426978261086e+13 +1.8375850720098504e+20 
+9.6000000000000014e+00 +1.4640657740803129e+00 +4.1596213994948133e+06 -5.7351112919279250e+13 +1.6010190841021691e+20 
+9.7000000000000011e+00 +1.4640081468285115e+00 +4.1693137761516585e+06 -5.7309333359691445e+13 +1.3804568532207139e+20 
+9.8000000000000007e+00 +1.4639477907857270e+00 +4.1801437942750412e+06 -5.7411557752692375e+13 +1.2168047549254643e+20 
+9.9000000000000004e+00 +1.4638841088887762e+00 +4.1926746739323423e+06 -5.7754255548042219e+13 +1.1509691637371304e+20 
+1.0000000000000000e+01 +1.4638165040745328e+00 +4.2074696351591274e+06 -5.8433896192043672e+13 +1.2238564531752912e+20 
+1.0100000000000001e+01 +1.4637445188597300e+00 +4.2249441085804114e+06 -5.9520823699005391e+13 +1.4651154247223245e+20 
+1.0200000000000001e+01 +1.4636682540808055e+00 +4.2449223670577407e+06 -6.0980880343841758e+13 +1.8593645887463870e+20 
+1.0300000000000001e+01 +1.4635879501541653e+00 +4.2670808939737482e+06 -6.2753782961457883e+13 +2.3799648811385166e+20 
+1.0400000000000000e+01 +1.4635038474961826e+00 +4.2910961727396678e+06 -6.4779248390537578e+13 +3.0002772390147064e+20 
+1.0500000000000000e+01 +1.4634161865232651e+00 +4.3166446867387434e+06 -6.6996993466217828e+13 +3.6936625983663682e+20 
+1.0600000000000001e+01 +1.4633252076517551e+00 +4.3434029193974249e+06 -6.9346735028722523e+13 +4.4334818967377936e+20 
+1.0700000000000001e+01 +1.4632311512981113e+00 +4.3710473540731370e+06 -7.1768189910458312e+13 +5.1930960693373757e+20 
+1.0800000000000001e+01 +1.4631342578787023e+00 +4.3992544741736753e+06 -7.4201074949408594e+13 +5.9458660530197037e+20 
+1.0900000000000000e+01 +1.4630347678098914e+00 +4.4277007631119611e+06 -7.6585106984200656e+13 +6.6651527848375812e+20 
+1.1000000000000000e+01 +1.4629329215080851e+00 +4.4560627042764844e+06 -7.8860002850776953e+13 +7.3243172010603132e+20 
+1.1100000000000001e+01 +1.4628288713689439e+00 +4.4841039124891004e+06 -8.0981089099384516e+13 +7.9036152175301676e+20 
+1.1200000000000001e+01 +1.4627224177050471e+00 +4.5119365283652125e+06 -8.2966131144154031e+13 +8.4108826703280878e+20 
+1.1300000000000001e+01 +1.4626132728082826e+00 +4.5397598239282155e+06 -8.4848504110991781e+13 +8.8608503744170099e+20 
+1.1400000000000000e+01 +1.4625011489705622e+00 +4.5677730711775199e+06 -8.6661583122570969e+13 +9.2682491437003008e+20 
+1.1500000000000000e+01 +1.4623857584837185e+00 +4.5961755421703542e+06 -8.8438743308759641e+13 +9.6478097943474563e+20 
+1.1600000000000001e+01 +1.4622668136396522e+00 +4.6251665089155622e+06 -9.0213359793363719e+13 +1.0014263140610541e+21 
+1.1700000000000001e+01 +1.4621440267301873e+00 +4.6549452434706688e+06 -9.2018807706073391e+13 +1.0382339998567553e+21 
+1.1800000000000001e+01 +1.4620171100472985e+00 +4.6857110178057756e+06 -9.3888462166561391e+13 +1.0766771181282076e+21 
+1.1900000000000000e+01 +1.4618857758827697e+00 +4.7176631039990662e+06 -9.5855698306674438e+13 +1.1182287505443632e+21 
+1.2000000000000000e+01 +1.4617497365284993e+00 +4.7510007740657805e+06 -9.7953891251292703e+13 +1.1643619785690010e+21 
+1.2100000000000001e+01 +1.4616087475935771e+00 +4.7858708836873230e+06 -1.0020656238442700e+14 +1.2161029091035560e+21 
+1.2200000000000001e+01 +1.4614627379558034e+00 +4.8222106232661270e+06 -1.0259781813471567e+14 +1.2726897510755572e+21 
+1.2300000000000001e+01 +1.4613116798101233e+00 +4.8599047668965906e+06 -1.0510191119269112e+14 +1.3329137389297446e+21 
+1.2400000000000000e+01 +1.4611555453516034e+00 +4.8988380886036949e+06 -1.0769309424119878e+14 +1.3955661068846975e+21 
+1.2500000000000000e+01 +1.4609943067752178e+00 +4.9388953624670785e+06 -1.1034561996925839e+14 +1.4594380893427781e+21 
+1.2600000000000001e+01 +1.4608279362759293e+00 +4.9799613625764400e+06 -1.1303374106721850e+14 +1.5233209207498838e+21 
+1.2700000000000001e+01 +1.4606564060488190e+00 +5.0219208629450863e+06 -1.1573171021643934e+14 +1.5860058352773088e+21 
+1.2800000000000001e+01 +1.4604796882888205e+00 +5.0646586376781538e+06 -1.1841378010888183e+14 +1.6462840674161189e+21 
+1.2900000000000000e+01 +1.4602977551909637e+00 +5.1080594608216695e+06 -1.2105420342978002e+14 +1.7029468514564723e+21 
+1.3000000000000000e+01 +1.4601105789501863e+00 +5.1520081064766347e+06 -1.2362723287055261e+14 +1.7547854218722303e+21 
+1.3100000000000001e+01 +1.4599180419803097e+00 +5.1964747359607909e+06 -1.2612219382157883e+14 +1.8012567439065256e+21 
+1.3200000000000001e+01 +1.4597196675699144e+00 +5.2417710599011509e+06 -1.2858870251836325e+14 +1.8444807073374832e+21 
+1.3300000000000001e+01 +1.4595148892263869e+00 +5.2882941761914929e+06 -1.3109144790115638e+14 +1.8872429328874500e+21 
+1.3400000000000000e+01 +1.4593031404571453e+00 +5.3364411826985646e+06 -1.3369511890675789e+14 +1.9323290411687414e+21 
+1.3500000000000000e+01 +1.4590838547695324e+00 +5.3866091773389149e+06 -1.3646440447794042e+14 +1.9825246529780895e+21 
+1.3600000000000001e+01 +1.4588564656709198e+00 +5.4391952580124056e+06 -1.3946399355544369e+14 +2.0406153890484333e+21 
+1.3700000000000001e+01 +1.4586204066687429e+00 +5.4945965225784872e+06 -1.4275857507547931e+14 +2.1093868699793865e+21 
+1.3800000000000001e+01 +1.4583751112703058e+00 +5.5532100689794207e+06 -1.4641283798379588e+14 +2.1916247166573051e+21 
+1.3900000000000000e+01 +1.4581200129830318e+00 +5.6154329950781725e+06 -1.5049147121670184e+14 +2.2901145496787264e+21 
+1.4000000000000000e+01 +1.4578545453142921e+00 +5.6816623987779496e+06 -1.5505916371558047e+14 +2.4076419898008829e+21 
+1.4100000000000001e+01 +1.4575783413842984e+00 +5.7520738017366994e+06 -1.6014059531205347e+14 +2.5452183620306306e+21 
+1.4200000000000001e+01 +1.4572918327647304e+00 +5.8259564206186542e+06 -1.6560040939973291e+14 +2.6967578084472961e+21 
+1.4300000000000001e+01 +1.4569956506400064e+00 +5.9023778959047226e+06 -1.7126324026958331e+14 +2.8544001755940106e+21 
+1.4400000000000000e+01 +1.4566904261946034e+00 +5.9804058680431638e+06 -1.7695372220892588e+14 +3.0102853099056487e+21 
+1.4500000000000000e+01 +1.4563767906130070e+00 +6.0591079774801144e+06 -1.8249648950507853e+14 +3.1565530578217326e+21 
+1.4600000000000001e+01 +1.4560553750797360e+00 +6.1375518646362433e+06 -1.8771617644204866e+14 +3.2853432656751289e+21 
+1.4700000000000001e+01 +1.4557268107792318e+00 +6.2148051699819965e+06 -1.9243741730982300e+14 +3.3887957799831853e+21 
+1.4800000000000001e+01 +1.4553917288959528e+00 +6.2899355339781726e+06 -1.9648484639724753e+14 +3.4590504472286493e+21 
+1.4900000000000000e+01 +1.4550507606143894e+00 +6.3620105970635097e+06 -1.9968309799050044e+14 +3.4882471138112255e+21 
+1.5000000000000000e+01 +1.4547045371190157e+00 +6.4300979996912982e+06 -2.0185680637767453e+14 +3.4685256261926980e+21 
+1.5100000000000001e+01 +1.4543532174978513e+00 +6.4937441467754785e+06 -2.0291673733358644e+14 +3.3958677751742658e+21 
+1.5200000000000001e+01 +1.4539950724529094e+00 +6.5544105012037475e+06 -2.0311818259585834e+14 +3.2816231294074424e+21 
+1.5300000000000001e+01 +1.4536279005898189e+00 +6.6140372902917424e+06 -2.0280256538556569e+14 +3.1409832017935944e+21 
+1.5400000000000000e+01 +1.4532495005141077e+00 +6.6745647414122503e+06 -2.0231130893013809e+14 +2.9891395054211857e+21 
+1.5500000000000000e+01 +1.4528576708313039e+00 +6.7379330819400130e+06 -2.0198583645735162e+14 +2.8412835533913184e+21 
+1.5600000000000001e+01 +1.4524502101471062e+00 +6.8060825391421923e+06 -2.0216757118238528e+14 +2.7126068584221314e+21 
+1.5700000000000001e+01 +1.4520249170669608e+00 +6.8809533404440470e+06 -2.0319793633886856e+14 +2.6183009337916433e+21 
+1.5800000000000001e+01 +1.4515795901965634e+00 +6.9644857131165592e+06 -2.0541835514248659e+14 +2.5735572922341046e+21 
+1.5900000000000000e+01 +1.4511120281413685e+00 +7.0586198845792087e+06 -2.0917025082620253e+14 +2.5935674470078071e+21 
+1.6000000000000000e+01 +1.4506200295070297e+00 +7.1652960821286114e+06 -2.1479504660865928e+14 +2.6935229109362276e+21 
+1.6100000000000001e+01 +1.4501019648855231e+00 +7.2858313010949036e+06 -2.2252104873434028e+14 +2.8835605472309008e+21 
+1.6199999999999999e+01 +1.4495584928144416e+00 +7.4190496087466544e+06 -2.3212409552853850e+14 +3.1535986199751258e+21 
+1.6300000000000001e+01 +1.4489908438179699e+00 +7.5631518402179759e+06 -2.4326690832277981e+14 +3.4885007430451950e+21 
+1.6400000000000002e+01 +1.4484002484200877e+00 +7.7163388307713373e+06 -2.5561220846357838e+14 +3.8731305307722403e+21 
+1.6500000000000000e+01 +1.4477879371449305e+00 +7.8768114155740030e+06 -2.6882271728643219e+14 +4.2923515971545564e+21 
+1.6600000000000001e+01 +1.4471551405165135e+00 +8.0427704298650092e+06 -2.8256115613505056e+14 +4.7310275564372052e+21 
+1.6699999999999999e+01 +1.4465030890589370e+00 +8.2124167088323822e+06 -2.9649024634729500e+14 +5.1740220226891395e+21 
+1.6800000000000001e+01 +1.4458330132963251e+00 +8.3839510876493752e+06 -3.1027270925931694e+14 +5.6061986099277144e+21 
+1.6900000000000002e+01 +1.4451461437527002e+00 +8.5555744015498273e+06 -3.2357126621421125e+14 +6.0124209323793438e+21 
+1.7000000000000000e+01 +1.4444437109521524e+00 +8.7254874857283514e+06 -3.3604863855057512e+14 +6.3775526041344499e+21 
+1.7100000000000001e+01 +1.4437264714378553e+00 +8.8923642744159475e+06 -3.4745275502365419e+14 +6.6902633978909080e+21 
+1.7199999999999999e+01 +1.4429932858299097e+00 +9.0567710976087078e+06 -3.5787237400992444e+14 +6.9544477193768167e+21 
+1.7300000000000001e+01 +1.4422425407673336e+00 +9.2197473844458535e+06 -3.6748146131507056e+14 +7.1778061333109911e+21 
+1.7400000000000002e+01 +1.4414726228893040e+00 +9.3823325639654472e+06 -3.7645398273288838e+14 +7.3680392040492449e+21 
+1.7500000000000000e+01 +1.4406819188349997e+00 +9.5455660652077496e+06 -3.8496390405754912e+14 +7.5328474959609374e+21 
+1.7600000000000001e+01 +1.4398688152434684e+00 +9.7104873172841873e+06 -3.9318519109101919e+14 +7.6799315736431941e+21 
+1.7699999999999999e+01 +1.4390316987538467e+00 +9.8781357492649779e+06 -4.0129180963116862e+14 +7.8169920015813197e+21 
+1.7800000000000001e+01 +1.4381689560053266e+00 +1.0049550790175794e+07 -4.0945772547021431e+14 +7.9517293440811160e+21 
+1.7900000000000002e+01 +1.4372789736370106e+00 +1.0225771869103558e+07 -4.1785690440770612e+14 +8.0918441656739347e+21 
+1.8000000000000000e+01 +1.4363601382880458e+00 +1.0407838415105745e+07 -4.2666331223971725e+14 +8.2450370307849496e+21 
+1.8100000000000001e+01 +1.4354109981072909e+00 +1.0596573632866548e+07 -4.3601247351019112e+14 +8.4173272192206808e+21 
+1.8199999999999999e+01 +1.4344307472825133e+00 +1.0791935829562219e+07 -4.4588614775426969e+14 +8.6080088723291699e+21 
+1.8300000000000001e+01 +1.4334187415113033e+00 +1.0993667087922437e+07 -4.5622765324602444e+14 +8.8146948465606609e+21 
+1.8400000000000002e+01 +1.4323743364911716e+00 +1.1201509490731470e+07 -4.6698030826627006e+14 +9.0349979985770541e+21 
+1.8500000000000000e+01 +1.4312968879196750e+00 +1.1415205120737318e+07 -4.7808743109122362e+14 +9.2665311848946519e+21 
+1.8600000000000001e+01 +1.4301857514943743e+00 +1.1634496060697060e+07 -4.8949233999864756e+14 +9.5069072620842721e+21 
+1.8699999999999999e+01 +1.4290402829127498e+00 +1.1859124393411549e+07 -5.0113835327121769e+14 +9.7537390868634125e+21 
+1.8800000000000001e+01 +1.4278598378723775e+00 +1.2088832201618172e+07 -5.1296878918394200e+14 +1.0004639515711807e+22 
+1.8900000000000002e+01 +1.4266437720708136e+00 +1.2323361568075448e+07 -5.2492696601469944e+14 +1.0257221405203067e+22 
+1.9000000000000000e+01 +1.4253914412055619e+00 +1.2562454575566931e+07 -5.3695620204401456e+14 +1.0509097611987167e+22 
+1.9100000000000001e+01 +1.4241021473073709e+00 +1.2805886379887380e+07 -5.4900694970195656e+14 +1.0758238695299446e+22 
+1.9200000000000003e+01 +1.4227749777399581e+00 +1.3053564428867081e+07 -5.6105819801561900e+14 +1.1004046024684616e+22 
+1.9300000000000001e+01 +1.4214089662000848e+00 +1.3305429243461976e+07 -5.7309607017448562e+14 +1.1246278672654619e+22 
+1.9400000000000002e+01 +1.4200031463847644e+00 +1.3561421344483476e+07 -5.8510668935185962e+14 +1.1484695711241977e+22 
+1.9500000000000000e+01 +1.4185565519907100e+00 +1.3821481252919232e+07 -5.9707617874106262e+14 +1.1719056213077591e+22 
+1.9600000000000001e+01 +1.4170682167149089e+00 +1.4085549489587536e+07 -6.0899066151570425e+14 +1.1949119250194646e+22 
+1.9700000000000003e+01 +1.4155371742541629e+00 +1.4353566575427817e+07 -6.2083626086383325e+14 +1.2174643895070076e+22 
+1.9800000000000001e+01 +1.4139624583053583e+00 +1.4625473031323800e+07 -6.3259909996684425e+14 +1.2395389219976220e+22 
+1.9900000000000002e+01 +1.4123431025654005e+00 +1.4901209378146447e+07 -6.4426530200457200e+14 +1.2611114297136612e+22 
+2.0000000000000000e+01 +1.4106781407310929e+00 +1.5180716136827948e+07 -6.5582099016390738e+14 +1.2821578198987559e+22 
+2.0100000000000001e+01 +1.4089665765255261e+00 +1.5463910979441496e+07 -6.6725056867697888e+14 +1.3026510588670586e+22 
+2.0200000000000003e+01 +1.4072072937763238e+00 +1.5750620182982570e+07 -6.7853156599742850e+14 +1.3225523493357050e+22 
+2.0300000000000001e+01 +1.4053991463373856e+00 +1.6040647175594695e+07 -6.8963979162487775e+14 +1.3418199530944242e+22 
+2.0400000000000002e+01 +1.4035409880624932e+00 +1.6333795385486817e+07 -7.0055105506631575e+14 +1.3604121319549102e+22 
+2.0500000000000000e+01 +1.4016316728054998e+00 +1.6629868240831371e+07 -7.1124116582477038e+14 +1.3782871477173130e+22 
+2.0600000000000001e+01 +1.3996700544202634e+00 +1.6928669169791956e+07 -7.2168593340197012e+14 +1.3954032621773811e+22 
+2.0700000000000003e+01 +1.3976549867606047e+00 +1.7230001600557733e+07 -7.3186116730280662e+14 +1.4117187371407828e+22 
+2.0800000000000001e+01 +1.3955853236803748e+00 +1.7533668961299881e+07 -7.4174267703001625e+14 +1.4271918344065329e+22 
