# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] 
+5.1000000000000005e+00 -3.9011752703527322e-03 +1.5860115729377423e+01 +6.6168164705133948e+11 
+5.2000000000000002e+00 -3.9008385894773274e-03 +1.5861341132369525e+01 +6.5985769918971033e+11 
+5.3000000000000007e+00 -3.9004946372364398e-03 +1.5862800237255906e+01 +6.5763487720377820e+11 
+5.4000000000000004e+00 -3.9001410150322144e-03 +1.5864305328066813e+01 +6.5521406942405237e+11 
+5.5000000000000000e+00 -3.8997753242667648e-03 +1.5865668688831700e+01 +6.5279616418128577e+11 
+5.6000000000000005e+00 -3.8993951663422307e-03 +1.5866702603580753e+01 +6.5058204980600598e+11 
+5.7000000000000002e+00 -3.8989981426607399e-03 +1.5867219356343817e+01 +6.4877261462883630e+11 
+5.8000000000000007e+00 -3.8985818546244206e-03 +1.5867031231150749e+01 +6.4756874698040540e+11 
+5.9000000000000004e+00 -3.8981439036354058e-03 +1.5865950512031569e+01 +6.4717133519128735e+11 
+6.0000000000000000e+00 -3.8976818910958274e-03 +1.5863789483016149e+01 +6.4778126759210803e+11 
+6.1000000000000005e+00 -3.8971942423628395e-03 +1.5860427491258621e+01 +6.4952795167769141e+11 
+6.2000000000000002e+00 -3.8966826786137406e-03 +1.5856012136411168e+01 +6.5225487159932727e+11 
+6.3000000000000007e+00 -3.8961497449808446e-03 +1.5850758081249941e+01 +6.5573403067261499e+11 
+6.4000000000000004e+00 -3.8955979865964571e-03 +1.5844879988550895e+01 +6.5973743221320068e+11 
+6.5000000000000000e+00 -3.8950299485929216e-03 +1.5838592521090881e+01 +6.6403707953645776e+11 
+6.6000000000000005e+00 -3.8944481761025332e-03 +1.5832110341645635e+01 +6.6840497595810742e+11 
+6.7000000000000002e+00 -3.8938552142576250e-03 +1.5825648112991722e+01 +6.7261312479360645e+11 
+6.8000000000000007e+00 -3.8932536081905120e-03 +1.5819420497905382e+01 +6.7643352935852295e+11 
+6.9000000000000004e+00 -3.8926459030335101e-03 +1.5813642159162749e+01 +6.7963819296845093e+11 
+7.0000000000000000e+00 -3.8920346439189433e-03 +1.5808527759540283e+01 +6.8199911893889124e+11 
+7.1000000000000005e+00 -3.8914217225010507e-03 +1.5804238373310278e+01 +6.8335310787224146e+11 
+7.2000000000000002e+00 -3.8908064165217929e-03 +1.5800720720730066e+01 +6.8379614951812207e+11 
+7.3000000000000007e+00 -3.8901873502450376e-03 +1.5797867933552910e+01 +6.8348903091300110e+11 
+7.4000000000000004e+00 -3.8895631479346736e-03 +1.5795573143532247e+01 +6.8259253909333105e+11 
+7.5000000000000000e+00 -3.8889324338545763e-03 +1.5793729482421538e+01 +6.8126746109552039e+11 
+7.6000000000000005e+00 -3.8882938322686218e-03 +1.5792230081973939e+01 +6.7967458395611243e+11 
+7.7000000000000002e+00 -3.8876459674406986e-03 +1.5790968073943148e+01 +6.7797469471145068e+11 
+7.8000000000000007e+00 -3.8869874636346721e-03 +1.5789836590082215e+01 +6.7632858039808618e+11 
+7.9000000000000004e+00 -3.8863169451144280e-03 +1.5788728762144656e+01 +6.7489702805244568e+11 
+8.0000000000000000e+00 -3.8856330361438447e-03 +1.5787537721883876e+01 +6.7384082471095056e+11 
+8.0999999999999996e+00 -3.8849345022736233e-03 +1.5786175265451787e+01 +6.7327816749023572e+11 
+8.2000000000000011e+00 -3.8842206742017182e-03 +1.5784627846593699e+01 +6.7315689382774976e+11 
+8.3000000000000007e+00 -3.8834910239129153e-03 +1.5782900583453596e+01 +6.7338225124111084e+11 
+8.4000000000000004e+00 -3.8827450233919949e-03 +1.5780998594175523e+01 +6.7385948724785388e+11 
+8.5000000000000000e+00 -3.8819821446237344e-03 +1.5778926996903326e+01 +6.7449384936562561e+11 
+8.5999999999999996e+00 -3.8812018595929193e-03 +1.5776690909780935e+01 +6.7519058511203381e+11 
+8.7000000000000011e+00 -3.8804036402843248e-03 +1.5774295450952335e+01 +6.7585494200464709e+11 
+8.8000000000000007e+00 -3.8795869586827321e-03 +1.5771745738561330e+01 +6.7639216756112769e+11 
+8.9000000000000004e+00 -3.8787512867729254e-03 +1.5769046890752099e+01 +6.7670750929898218e+11 
+9.0000000000000000e+00 -3.8778960965396808e-03 +1.5766204025668339e+01 +6.7670621473589880e+11 
+9.0999999999999996e+00 -3.8770209256249995e-03 +1.5763224425800097e+01 +6.7632228895461047e+11 
+9.2000000000000011e+00 -3.8761255742997196e-03 +1.5760124031020405e+01 +6.7560476729884546e+11 
+9.3000000000000007e+00 -3.8752099084919133e-03 +1.5756920945548661e+01 +6.7463144267739978e+11 
+9.4000000000000004e+00 -3.8742737941296406e-03 +1.5753633273604033e+01 +6.7348010799912720e+11 
+9.5000000000000000e+00 -3.8733170971409540e-03 +1.5750279119405482e+01 +6.7222855617294055e+11 
+9.6000000000000014e+00 -3.8723396834539326e-03 +1.5746876587172533e+01 +6.7095458010760266e+11 
+9.7000000000000011e+00 -3.8713414189966225e-03 +1.5743443781124027e+01 +6.6973597271205774e+11 
+9.8000000000000007e+00 -3.8703221696970917e-03 +1.5739998805479264e+01 +6.6865052689513306e+11 
+9.9000000000000004e+00 -3.8692818014834096e-03 +1.5736559764457558e+01 +6.6777603556564856e+11 
+1.0000000000000000e+01 -3.8682201802836304e-03 +1.5733144762277979e+01 +6.6719029163247314e+11 
+1.0100000000000001e+01 -3.8671371141696317e-03 +1.5729762988091464e+01 +6.6694615255827405e+11 
+1.0200000000000001e+01 -3.8660321797885501e-03 +1.5726387970776489e+01 +6.6699673402069348e+11 
+1.0300000000000001e+01 -3.8649048959313423e-03 +1.5722984324143262e+01 +6.6727021625120032e+11 
+1.0400000000000000e+01 -3.8637547813889566e-03 +1.5719516662002027e+01 +6.6769477948125049e+11 
+1.0500000000000000e+01 -3.8625813549523430e-03 +1.5715949598162874e+01 +6.6819860394232849e+11 
+1.0600000000000001e+01 -3.8613841354124619e-03 +1.5712247746436255e+01 +6.6870986986583069e+11 
+1.0700000000000001e+01 -3.8601626415602584e-03 +1.5708375720632207e+01 +6.6915675748326221e+11 
+1.0800000000000001e+01 -3.8589163921866863e-03 +1.5704298134561002e+01 +6.6946744702607129e+11 
+1.0900000000000000e+01 -3.8576449060826923e-03 +1.5699979602032718e+01 +6.6957011872575012e+11 
+1.1000000000000000e+01 -3.8563477020392436e-03 +1.5695384736857937e+01 +6.6939295281365369e+11 
+1.1100000000000001e+01 -3.8550242759975606e-03 +1.5690491250360973e+01 +6.6888717087492957e+11 
+1.1200000000000001e+01 -3.8536740325000114e-03 +1.5685329243924105e+01 +6.6809615990905981e+11 
+1.1300000000000001e+01 -3.8522963532392667e-03 +1.5679941916444436e+01 +6.6708634826900818e+11 
+1.1400000000000000e+01 -3.8508906199079701e-03 +1.5674372466818580e+01 +6.6592416430785742e+11 
+1.1500000000000000e+01 -3.8494562141987779e-03 +1.5668664093943296e+01 +6.6467603637868811e+11 
+1.1600000000000001e+01 -3.8479925178043412e-03 +1.5662859996715298e+01 +6.6340839283456506e+11 
+1.1700000000000001e+01 -3.8464989124173195e-03 +1.5657003374031406e+01 +6.6218766202854004e+11 
+1.1800000000000001e+01 -3.8449747797303611e-03 +1.5651137424788436e+01 +6.6108027231362878e+11 
+1.1900000000000000e+01 -3.8434195014361281e-03 +1.5645305347883207e+01 +6.6015265204289856e+11 
+1.2000000000000000e+01 -3.8418324592272650e-03 +1.5639550342212255e+01 +6.5947122956947144e+11 
+1.2100000000000001e+01 -3.8402130110696347e-03 +1.5633898048674338e+01 +6.5908244768279382e+11 
+1.2200000000000001e+01 -3.8385604200218792e-03 +1.5628303876174707e+01 +6.5895280691830920e+11 
+1.2300000000000001e+01 -3.8368739254158592e-03 +1.5622705675620617e+01 +6.5902882224786609e+11 
+1.2400000000000000e+01 -3.8351527665834153e-03 +1.5617041297919162e+01 +6.5925700864332837e+11 
+1.2500000000000000e+01 -3.8333961828564051e-03 +1.5611248593977539e+01 +6.5958388107656006e+11 
+1.2600000000000001e+01 -3.8316034135666708e-03 +1.5605265414702732e+01 +6.5995595451947986e+11 
+1.2700000000000001e+01 -3.8297736980460692e-03 +1.5599029611002070e+01 +6.6031974394389722e+11 
+1.2800000000000001e+01 -3.8279062756264482e-03 +1.5592479033782567e+01 +6.6062176432172546e+11 
+1.2900000000000000e+01 -3.8260003856396599e-03 +1.5585551533951501e+01 +6.6080853062478455e+11 
+1.3000000000000000e+01 -3.8240552674175532e-03 +1.5578184962415891e+01 +6.6082655782498511e+11 
+1.3100000000000001e+01 -3.8220702856081252e-03 +1.5570339636160465e+01 +6.6063602468690649e+11 
+1.3200000000000001e+01 -3.8200453061239610e-03 +1.5562065736479896e+01 +6.6025176514607507e+11 
+1.3300000000000001e+01 -3.8179803201937902e-03 +1.5553435910746213e+01 +6.5970227693082056e+11 
+1.3400000000000000e+01 -3.8158753190463521e-03 +1.5544522806331834e+01 +6.5901605776933521e+11 
+1.3500000000000000e+01 -3.8137302939103808e-03 +1.5535399070609079e+01 +6.5822160538983191e+11 
+1.3600000000000001e+01 -3.8115452360145954e-03 +1.5526137350949664e+01 +6.5734741752073657e+11 
+1.3700000000000001e+01 -3.8093201365877408e-03 +1.5516810294726136e+01 +6.5642199189019983e+11 
+1.3800000000000001e+01 -3.8070549868585470e-03 +1.5507490549310644e+01 +6.5547382622649963e+11 
+1.3900000000000000e+01 -3.8047497780557453e-03 +1.5498250762075356e+01 +6.5453141825790857e+11 
+1.4000000000000000e+01 -3.8024045014080606e-03 +1.5489163580392272e+01 +6.5362326571275122e+11 
+1.4100000000000001e+01 -3.8000188028746678e-03 +1.5480270065181669e+01 +6.5277398217572156e+11 
+1.4200000000000001e+01 -3.7975909473364033e-03 +1.5471484931554036e+01 +6.5199264465783630e+11 
+1.4300000000000001e+01 -3.7951188544045698e-03 +1.5462691308168438e+01 +6.5128444602638318e+11 
+1.4400000000000000e+01 -3.7926004436904383e-03 +1.5453772323683197e+01 +6.5065457914890393e+11 
+1.4500000000000000e+01 -3.7900336348052951e-03 +1.5444611106757083e+01 +6.5010823689276660e+11 
+1.4600000000000001e+01 -3.7874163473604230e-03 +1.5435090786048709e+01 +6.4965061212540930e+11 
+1.4700000000000001e+01 -3.7847465009671053e-03 +1.5425094490216722e+01 +6.4928689771425452e+11 
+1.4800000000000001e+01 -3.7820220152366209e-03 +1.5414505347919656e+01 +6.4902228652676880e+11 
+1.4900000000000000e+01 -3.7792408097802564e-03 +1.5403206487816197e+01 +6.4886197143036169e+11 
+1.5000000000000000e+01 -3.7764008042092930e-03 +1.5391081038564991e+01 +6.4881114529245056e+11 
+1.5100000000000001e+01 -3.7735004835187970e-03 +1.5378058501116431e+01 +6.4886465776316870e+11 
+1.5200000000000001e+01 -3.7705405942389282e-03 +1.5364253865587065e+01 +6.4897598562370386e+11 
+1.5300000000000001e+01 -3.7675224482836395e-03 +1.5349828494385346e+01 +6.4908826243791809e+11 
+1.5400000000000000e+01 -3.7644473575668860e-03 +1.5334943749919955e+01 +6.4914462176959314e+11 
+1.5500000000000000e+01 -3.7613166340025993e-03 +1.5319760994598871e+01 +6.4908819718272363e+11 
+1.5600000000000001e+01 -3.7581315895047485e-03 +1.5304441590830971e+01 +6.4886212224103918e+11 
+1.5700000000000001e+01 -3.7548935359872603e-03 +1.5289146901024200e+01 +6.4840953050853979e+11 
+1.5800000000000001e+01 -3.7516037853641054e-03 +1.5274038287587512e+01 +6.4767355554892920e+11 
+1.5900000000000000e+01 -3.7482636495492108e-03 +1.5259277112928812e+01 +6.4659733092622778e+11 
+1.6000000000000000e+01 -3.7448744404565333e-03 +1.5245024739456682e+01 +6.4512399020425366e+11 
+1.6100000000000001e+01 -3.7414366593005767e-03 +1.5231384947607202e+01 +6.4321789721039233e+11 
+1.6199999999999999e+01 -3.7379475644980327e-03 +1.5218231189926074e+01 +6.4092833682651062e+11 
+1.6300000000000001e+01 -3.7344036037661550e-03 +1.5205379336986713e+01 +6.3832582419796240e+11 
+1.6400000000000002e+01 -3.7308012248221884e-03 +1.5192645259362404e+01 +6.3548087447015869e+11 
+1.6500000000000000e+01 -3.7271368753833897e-03 +1.5179844827626678e+01 +6.3246400278843237e+11 
+1.6600000000000001e+01 -3.7234070031670037e-03 +1.5166793912352727e+01 +6.2934572429823108e+11 
+1.6699999999999999e+01 -3.7196080558902799e-03 +1.5153308384114043e+01 +6.2619655414486938e+11 
+1.6800000000000001e+01 -3.7157364812704700e-03 +1.5139204113483878e+01 +6.2308700747380237e+11 
+1.6900000000000002e+01 -3.7117887270248250e-03 +1.5124296971035751e+01 +6.2008759943034253e+11 
+1.7000000000000000e+01 -3.7077612408705891e-03 +1.5108402827342827e+01 +6.1726884515994482e+11 
+1.7100000000000001e+01 -3.7036511448258818e-03 +1.5091379136129826e+01 +6.1469176669594531e+11 
+1.7199999999999999e+01 -3.6994582581122617e-03 +1.5073249683725919e+01 +6.1237941362378064e+11 
+1.7300000000000001e+01 -3.6951830742521529e-03 +1.5054079839611358e+01 +6.1034534241695752e+11 
+1.7400000000000002e+01 -3.6908260867679946e-03 +1.5033934973266994e+01 +6.0860310954876257e+11 
+1.7500000000000000e+01 -3.6863877891822059e-03 +1.5012880454172995e+01 +6.0716627149271313e+11 
+1.7600000000000001e+01 -3.6818686750172075e-03 +1.4990981651809600e+01 +6.0604838472230566e+11 
+1.7699999999999999e+01 -3.6772692377954343e-03 +1.4968303935657536e+01 +6.0526300571087085e+11 
+1.7800000000000001e+01 -3.6725899710393179e-03 +1.4944912675197212e+01 +6.0482369093185596e+11 
+1.7900000000000002e+01 -3.6678313682712727e-03 +1.4920873239908849e+01 +6.0474399685875232e+11 
+1.8000000000000000e+01 -3.6629939230137364e-03 +1.4896250999273118e+01 +6.0503747996491382e+11 
+1.8100000000000001e+01 -3.6580777855569060e-03 +1.4871092825109580e+01 +6.0570328498773828e+11 
+1.8199999999999999e+01 -3.6530817332620933e-03 +1.4845371598595195e+01 +6.0668290972020215e+11 
+1.8300000000000001e+01 -3.6480042002583731e-03 +1.4819041703246098e+01 +6.0790344021920923e+11 
+1.8400000000000002e+01 -3.6428436206748273e-03 +1.4792057522578435e+01 +6.0929196254166821e+11 
+1.8500000000000000e+01 -3.6375984286405472e-03 +1.4764373440108583e+01 +6.1077556274443359e+11 
+1.8600000000000001e+01 -3.6322670582846117e-03 +1.4735943839352657e+01 +6.1228132688441406e+11 
+1.8699999999999999e+01 -3.6268479437360987e-03 +1.4706723103826773e+01 +6.1373634101853943e+11 
+1.8800000000000001e+01 -3.6213395191240952e-03 +1.4676665617047206e+01 +6.1506769120367932e+11 
+1.8900000000000002e+01 -3.6157402185776817e-03 +1.4645725762530144e+01 +6.1620246349672473e+11 
+1.9000000000000000e+01 -3.6100484762259344e-03 +1.4613857923791583e+01 +6.1706774395464648e+11 
+1.9100000000000001e+01 -3.6042629934258529e-03 +1.4581033651718641e+01 +6.1761422795423694e+11 
+1.9200000000000003e+01 -3.5983835404460461e-03 +1.4547293166680531e+01 +6.1788704815238940e+11 
+1.9300000000000001e+01 -3.5924101547830391e-03 +1.4512693856417417e+01 +6.1795494652587268e+11 
+1.9400000000000002e+01 -3.5863428739333551e-03 +1.4477293108669363e+01 +6.1788666505150000e+11 
+1.9500000000000000e+01 -3.5801817353935152e-03 +1.4441148311176399e+01 +6.1775094570609448e+11 
+1.9600000000000001e+01 -3.5739267766600430e-03 +1.4404316851678516e+01 +6.1761653046650049e+11 
+1.9700000000000003e+01 -3.5675780352294570e-03 +1.4366856117915804e+01 +6.1755216130950232e+11 
+1.9800000000000001e+01 -3.5611355485982892e-03 +1.4328823497628459e+01 +6.1762658021187415e+11 
+1.9900000000000002e+01 -3.5545993542630576e-03 +1.4290276378556477e+01 +6.1790852915045496e+11 
+2.0000000000000000e+01 -3.5479694897202784e-03 +1.4251272148439689e+01 +6.1846675010212512e+11 
+2.0100000000000001e+01 -3.5412457393126182e-03 +1.4211840847353065e+01 +6.1934766515451306e+11 
+2.0200000000000003e+01 -3.5344268747672658e-03 +1.4171903124709511e+01 +6.2050841683907153e+11 
+2.0300000000000001e+01 -3.5275114146575510e-03 +1.4131352282256614e+01 +6.2188382779814429e+11 
+2.0400000000000002e+01 -3.5204978775568029e-03 +1.4090081621742172e+01 +6.2340872067399683e+11 
+2.0500000000000000e+01 -3.5133847820383456e-03 +1.4047984444913601e+01 +6.2501791810903503e+11 
+2.0600000000000001e+01 -3.5061706466755120e-03 +1.4004954053518746e+01 +6.2664624274550891e+11 
+2.0700000000000003e+01 -3.4988539900416256e-03 +1.3960883749305072e+01 +6.2822851722580872e+11 
+2.0800000000000001e+01 -3.4914333307100283e-03 +1.3915666834020550e+01 +6.2969956419214819e+11 
+2.0900000000000002e+01 -3.4839071872540283e-03 +1.3869196609412365e+01 +6.3099420628699292e+11 
+2.1000000000000000e+01 -3.4762740782469733e-03 +1.3821366377228605e+01 +6.3204726615253564e+11 
+2.1100000000000001e+01 -3.4685329851235954e-03 +1.3772106272624212e+01 +6.3280951433503992e+11 
+2.1200000000000003e+01 -3.4606847407643495e-03 +1.3721493764385920e+01 +6.3329551299575232e+11 
+2.1300000000000001e+01 -3.4527306409110892e-03 +1.3669643154707675e+01 +6.3353577219989136e+11 
+2.1400000000000002e+01 -3.4446719813056824e-03 +1.3616668745783747e+01 +6.3356080201257153e+11 
+2.1500000000000000e+01 -3.4365100576899906e-03 +1.3562684839808199e+01 +6.3340111249898804e+11 
+2.1600000000000001e+01 -3.4282461658058745e-03 +1.3507805738975181e+01 +6.3308721372427625e+11 
+2.1700000000000003e+01 -3.4198816013951993e-03 +1.3452145745478866e+01 +6.3264961575359998e+11 
+2.1800000000000001e+01 -3.4114176601998196e-03 +1.3395819161513216e+01 +6.3211882865216479e+11 
+2.1900000000000002e+01 -3.4028556379616095e-03 +1.3338940289272616e+01 +6.3152536248505408e+11 
+2.2000000000000000e+01 -3.3941968304224217e-03 +1.3281623430951004e+01 +6.3089972731749146e+11 
+2.2100000000000001e+01 -3.3854417584395684e-03 +1.3223924481906369e+01 +6.3026995171859448e+11 
+2.2200000000000003e+01 -3.3765878433320933e-03 +1.3165665710150993e+01 +6.2965413827362903e+11 
+2.2300000000000001e+01 -3.3676317315345060e-03 +1.3106610976861234e+01 +6.2906790807177612e+11 
+2.2400000000000002e+01 -3.3585700694813013e-03 +1.3046524143213329e+01 +6.2852688220222400e+11 
+2.2500000000000000e+01 -3.3493995036069685e-03 +1.2985169070383169e+01 +6.2804668175429358e+11 
+2.2600000000000001e+01 -3.3401166803460145e-03 +1.2922309619547164e+01 +6.2764292781713452e+11 
+2.2700000000000003e+01 -3.3307182461329277e-03 +1.2857709651881345e+01 +6.2733124148000525e+11 
+2.2800000000000001e+01 -3.3212008474022099e-03 +1.2791133028561935e+01 +6.2712724383212024e+11 
+2.2900000000000002e+01 -3.3115611305883602e-03 +1.2722343610765227e+01 +6.2704655596266028e+11 
+2.3000000000000000e+01 -3.3017957421258705e-03 +1.2651105259667199e+01 +6.2710479896091235e+11 
+2.3100000000000001e+01 -3.2919031844746067e-03 +1.2577295427664385e+01 +6.2728107795912598e+11 
+2.3200000000000003e+01 -3.2818893841958787e-03 +1.2501245932033811e+01 +6.2740843426198315e+11 
+2.3300000000000001e+01 -3.2717621238763780e-03 +1.2423402181273083e+01 +6.2728339321711548e+11 
+2.3400000000000002e+01 -3.2615291861027803e-03 +1.2344209583879504e+01 +6.2670248017226587e+11 
+2.3500000000000000e+01 -3.2511983534617684e-03 +1.2264113548350499e+01 +6.2546222047512292e+11 
+2.3600000000000001e+01 -3.2407774085400211e-03 +1.2183559483183364e+01 +6.2335913947342957e+11 
+2.3700000000000003e+01 -3.2302741339242298e-03 +1.2102992796875848e+01 +6.2018976251476819e+11 
+2.3800000000000001e+01 -3.2196963122010599e-03 +1.2022858897924854e+01 +6.1575061494701135e+11 
+2.3900000000000002e+01 -3.2090517259572102e-03 +1.1943603194828320e+01 +6.0983822211768164e+11 
+2.4000000000000000e+01 -3.1983481577793518e-03 +1.1865671096083306e+01 +6.0224910937459729e+11 
+2.4100000000000001e+01 -3.1875913195014696e-03 +1.1789377058966258e+01 +5.9284744323649646e+11 
+2.4200000000000003e+01 -3.1767786399467543e-03 +1.1714511735869568e+01 +5.8176795490631067e+11 
+2.4300000000000001e+01 -3.1659054771857034e-03 +1.1640734827964504e+01 +5.6921301675810681e+11 
+2.4400000000000002e+01 -3.1549671892888080e-03 +1.1567706036422434e+01 +5.5538500116587122e+11 
+2.4500000000000000e+01 -3.1439591343265590e-03 +1.1495085062414613e+01 +5.4048628050364197e+11 
+2.4600000000000001e+01 -3.1328766703694528e-03 +1.1422531607112354e+01 +5.2471922714545490e+11 
+2.4700000000000003e+01 -3.1217151554879781e-03 +1.1349705371686957e+01 +5.0828621346532233e+11 
+2.4800000000000001e+01 -3.1104699477526344e-03 +1.1276266057309805e+01 +4.9138961183725385e+11 
+2.4900000000000002e+01 -3.0991364052339117e-03 +1.1201873365152181e+01 +4.7423179463527740e+11 
+2.5000000000000000e+01 -3.0877098860023033e-03 +1.1126186996385444e+01 +4.5701513423339746e+11 
+2.5100000000000001e+01 -3.0761873127478946e-03 +1.1048956602883273e+01 +4.3989296882417352e+11 
+2.5200000000000003e+01 -3.0645718666391436e-03 +1.0970291639329824e+01 +4.2282249987392535e+11 
+2.5300000000000001e+01 -3.0528682934640936e-03 +1.0890391511111401e+01 +4.0571189466757715e+11 
+2.5400000000000002e+01 -3.0410813390107962e-03 +1.0809455623614546e+01 +3.8846932048998016e+11 
+2.5500000000000000e+01 -3.0292157490672995e-03 +1.0727683382225807e+01 +3.7100294462597552e+11 
+2.5600000000000001e+01 -3.0172762694216483e-03 +1.0645274192331486e+01 +3.5322093436048987e+11 
+2.5700000000000003e+01 -3.0052676458618894e-03 +1.0562427459318126e+01 +3.3503145697837207e+11 
+2.5800000000000001e+01 -2.9931946241760774e-03 +1.0479342588572289e+01 +3.1634267976446301e+11 
+2.5900000000000002e+01 -2.9810619501522534e-03 +1.0396218985480335e+01 +2.9706277000366614e+11 
+2.6000000000000000e+01 -2.9688743695784683e-03 +1.0313256055428806e+01 +2.7709989498083026e+11 
