# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+1.4400000000000000e+01 +3.8734030623386569e-03 -1.4448151428310778e+01 +3.1908525126240106e+11 
+1.4500000000000000e+01 +3.8718032643760012e-03 -1.4433157278090196e+01 +3.1732811241709082e+11 
+1.4600000000000001e+01 +3.8701708938563210e-03 -1.4417866762396022e+01 +3.1554010385277356e+11 
+1.4700000000000001e+01 +3.8685053196371561e-03 -1.4402274056974282e+01 +3.1372017655025110e+11 
+1.4800000000000001e+01 +3.8668059105760660e-03 -1.4386373337571317e+01 +3.1186728149041083e+11 
+1.4900000000000000e+01 +3.8650720355305826e-03 -1.4370158779932918e+01 +3.0998036965398193e+11 
+1.5000000000000000e+01 +3.8633030633582707e-03 -1.4353624559805692e+01 +3.0805839202194788e+11 
+1.5100000000000001e+01 +3.8614983502057174e-03 -1.4336765080596988e+01 +3.0610051564283020e+11 
+1.5200000000000001e+01 +3.8596572013757280e-03 -1.4319575656361145e+01 +3.0410677183666870e+11 
+1.5300000000000001e+01 +3.8577789094601557e-03 -1.4302051828813841e+01 +3.0207740799123584e+11 
+1.5400000000000000e+01 +3.8558627670508380e-03 -1.4284189139670584e+01 +3.0001267149426776e+11 
+1.5500000000000000e+01 +3.8539080667396360e-03 -1.4265983130647243e+01 +2.9791280973357855e+11 
+1.5600000000000001e+01 +3.8519141011183950e-03 -1.4247429343459435e+01 +2.9577807009694324e+11 
+1.5700000000000001e+01 +3.8498801627789656e-03 -1.4228523319822834e+01 +2.9360869997213177e+11 
+1.5800000000000001e+01 +3.8478055443131975e-03 -1.4209260601453146e+01 +2.9140494674692700e+11 
+1.5900000000000000e+01 +3.8456895383129400e-03 -1.4189636730066054e+01 +2.8916705780910669e+11 
+1.6000000000000000e+01 +3.8435314373700424e-03 -1.4169647247377213e+01 +2.8689528054644330e+11 
+1.6100000000000001e+01 +3.8413305201005473e-03 -1.4149287622874679e+01 +2.8458975670207336e+11 
+1.6199999999999999e+01 +3.8390860092172609e-03 -1.4128553037135678e+01 +2.8225020544044916e+11 
+1.6300000000000001e+01 +3.8367971134571814e-03 -1.4107438598509683e+01 +2.7987624028133258e+11 
+1.6400000000000002e+01 +3.8344630415573055e-03 -1.4085939415346273e+01 +2.7746747474453992e+11 
+1.6500000000000000e+01 +3.8320830022546401e-03 -1.4064050595995193e+01 +2.7502352234992902e+11 
+1.6600000000000001e+01 +3.8296562042861699e-03 -1.4041767248805582e+01 +2.7254399661715527e+11 
+1.6699999999999999e+01 +3.8271818563889027e-03 -1.4019084482127306e+01 +2.7002851106612329e+11 
+1.6800000000000001e+01 +3.8246591672998404e-03 -1.3995997404309966e+01 +2.6747667921663901e+11 
+1.6900000000000002e+01 +3.8220873457559695e-03 -1.3972501123702774e+01 +2.6488811458839157e+11 
+1.7000000000000000e+01 +3.8194656004942968e-03 -1.3948590748655553e+01 +2.6226243070127002e+11 
+1.7100000000000001e+01 +3.8167931244630277e-03 -1.3924261593260734e+01 +2.5959938692332889e+11 
+1.7199999999999999e+01 +3.8140690474551936e-03 -1.3899509794582485e+01 +2.5689932601578107e+11 
+1.7300000000000001e+01 +3.8112924834750291e-03 -1.3874331695427898e+01 +2.5416273658811914e+11 
+1.7400000000000002e+01 +3.8084625465267829e-03 -1.3848723638604318e+01 +2.5139010724991101e+11 
+1.7500000000000000e+01 +3.8055783506146875e-03 -1.3822681966918767e+01 +2.4858192661063113e+11 
+1.7600000000000001e+01 +3.8026390097429855e-03 -1.3796203023178435e+01 +2.4573868327980847e+11 
+1.7699999999999999e+01 +3.7996436379159190e-03 -1.3769283150190542e+01 +2.4286086586696423e+11 
+1.7800000000000001e+01 +3.7965913491377198e-03 -1.3741918690762132e+01 +2.3994896298158582e+11 
+1.7900000000000002e+01 +3.7934812574126368e-03 -1.3714105987700455e+01 +2.3700346323319699e+11 
+1.8000000000000000e+01 +3.7903124767449088e-03 -1.3685841383812770e+01 +2.3402485523136050e+11 
+1.8100000000000001e+01 +3.7870841082981721e-03 -1.3657121469681181e+01 +2.3101368624734253e+11 
+1.8199999999999999e+01 +3.7837952018737147e-03 -1.3627943826989505e+01 +2.2797073820003064e+11 
+1.8300000000000001e+01 +3.7804447944322218e-03 -1.3598306285196582e+01 +2.2489685167010410e+11 
+1.8400000000000002e+01 +3.7770319229343701e-03 -1.3568206673761077e+01 +2.2179286723818512e+11 
+1.8500000000000000e+01 +3.7735556243408482e-03 -1.3537642822141912e+01 +2.1865962548498932e+11 
+1.8600000000000001e+01 +3.7700149356123449e-03 -1.3506612559797949e+01 +2.1549796699118039e+11 
+1.8699999999999999e+01 +3.7664088937095401e-03 -1.3475113716187918e+01 +2.1230873233740393e+11 
+1.8800000000000001e+01 +3.7627365355931189e-03 -1.3443144120770713e+01 +2.0909276210435999e+11 
+1.8900000000000002e+01 +3.7589968982237707e-03 -1.3410701603005226e+01 +2.0585089687273819e+11 
+1.9000000000000000e+01 +3.7551890185621726e-03 -1.3377783992350068e+01 +2.0258397722314005e+11 
+1.9100000000000001e+01 +3.7513119317568577e-03 -1.3344389439633529e+01 +1.9929284961922491e+11 
+1.9200000000000003e+01 +3.7473646657077055e-03 -1.3310517381160066e+01 +1.9597838405605630e+11 
+1.9300000000000001e+01 +3.7433462465024468e-03 -1.3276167574603647e+01 +1.9264145641168039e+11 
+1.9400000000000002e+01 +3.7392557002288054e-03 -1.3241339777638077e+01 +1.8928294256410965e+11 
+1.9500000000000000e+01 +3.7350920529745091e-03 -1.3206033747937306e+01 +1.8590371839140063e+11 
+1.9600000000000001e+01 +3.7308543308272853e-03 -1.3170249243175157e+01 +1.8250465977155542e+11 
+1.9700000000000003e+01 +3.7265415598748569e-03 -1.3133986021025454e+01 +1.7908664258259427e+11 
+1.9800000000000001e+01 +3.7221527662049513e-03 -1.3097243839162061e+01 +1.7565054270254001e+11 
+1.9900000000000002e+01 +3.7176869759052997e-03 -1.3060022455258904e+01 +1.7219723600942584e+11 
+2.0000000000000000e+01 +3.7131432150636222e-03 -1.3022321626989818e+01 +1.6872759838128763e+11 
+2.0100000000000001e+01 +3.7085205267268122e-03 -1.2984142150818659e+01 +1.6524282143703967e+11 
+2.0200000000000003e+01 +3.7038180217784087e-03 -1.2945488978369569e+01 +1.6174535975935962e+11 
+2.0300000000000001e+01 +3.6990348280611213e-03 -1.2906368100056557e+01 +1.5823798367175174e+11 
+2.0400000000000002e+01 +3.6941700734176453e-03 -1.2866785506293548e+01 +1.5472346349772809e+11 
+2.0500000000000000e+01 +3.6892228856906890e-03 -1.2826747187494718e+01 +1.5120456956087076e+11 
+2.0600000000000001e+01 +3.6841923927229611e-03 -1.2786259134074186e+01 +1.4768407218473077e+11 
+2.0700000000000003e+01 +3.6790777223571587e-03 -1.2745327336445879e+01 +1.4416474169281757e+11 
+2.0800000000000001e+01 +3.6738780024359913e-03 -1.2703957785023976e+01 +1.4064934840871326e+11 
+2.0900000000000002e+01 +3.6685923608021616e-03 -1.2662156470222438e+01 +1.3714066265591431e+11 
+2.1000000000000000e+01 +3.6632199252983684e-03 -1.2619929382455322e+01 +1.3364145475797951e+11 
+2.1100000000000001e+01 +3.6577598370792874e-03 -1.2577282677892912e+01 +1.3015427444243253e+11 
+2.1200000000000003e+01 +3.6522112905474132e-03 -1.2534223175729704e+01 +1.2668078905260223e+11 
+2.1300000000000001e+01 +3.6465734934172218e-03 -1.2490757860916554e+01 +1.2322244533581874e+11 
+2.1400000000000002e+01 +3.6408456534031725e-03 -1.2446893718404150e+01 +1.1978069003939140e+11 
+2.1500000000000000e+01 +3.6350269782197361e-03 -1.2402637733143271e+01 +1.1635696991063477e+11 
+2.1600000000000001e+01 +3.6291166755813768e-03 -1.2357996890084600e+01 +1.1295273169684520e+11 
+2.1700000000000003e+01 +3.6231139532025627e-03 -1.2312978174179007e+01 +1.0956942214538136e+11 
+2.1800000000000001e+01 +3.6170180187977616e-03 -1.2267588570377164e+01 +1.0620848800352927e+11 
+2.1900000000000002e+01 +3.6108280800814328e-03 -1.2221835063629689e+01 +1.0287137601856450e+11 
+2.2000000000000000e+01 +3.6045433447680496e-03 -1.2175724638887512e+01 +9.9559532937853531e+10 
+2.2100000000000001e+01 +3.5981630723000099e-03 -1.2129265633711249e+01 +9.6274895523713028e+10 
+2.2200000000000003e+01 +3.5916867290314560e-03 -1.2082471796101743e+01 +9.3021360598644684e+10 
+2.2300000000000001e+01 +3.5851138330444711e-03 -1.2035358226669818e+01 +8.9803315000175674e+10 
+2.2400000000000002e+01 +3.5784439024211206e-03 -1.1987940026025999e+01 +8.6625145565750137e+10 
+2.2500000000000000e+01 +3.5716764552434911e-03 -1.1940232294781350e+01 +8.3491239132983475e+10 
+2.2600000000000001e+01 +3.5648110095936555e-03 -1.1892250133546451e+01 +8.0405982539325012e+10 
+2.2700000000000003e+01 +3.5578470835536898e-03 -1.1844008642932083e+01 +7.7373762622296753e+10 
+2.2800000000000001e+01 +3.5507841952056728e-03 -1.1795522923548974e+01 +7.4398966219389526e+10 
+2.2900000000000002e+01 +3.5436218626316812e-03 -1.1746808076008008e+01 +7.1485980168182434e+10 
+2.3000000000000000e+01 +3.5363596039137885e-03 -1.1697879200919798e+01 +6.8639191306116989e+10 
+2.3100000000000001e+01 +3.5289969863384835e-03 -1.1648751021659878e+01 +6.5862379831104210e+10 
+2.3200000000000003e+01 +3.5215337740098786e-03 -1.1599436752662289e+01 +6.3156899382374947e+10 
+2.3300000000000001e+01 +3.5139697802364948e-03 -1.1549949231125744e+01 +6.0523496959525719e+10 
+2.3400000000000002e+01 +3.5063048183268577e-03 -1.1500301294249095e+01 +5.7962919562186790e+10 
+2.3500000000000000e+01 +3.4985387015894816e-03 -1.1450505779230920e+01 +5.5475914189907967e+10 
+2.3600000000000001e+01 +3.4906712433328954e-03 -1.1400575523270019e+01 +5.3063227842296135e+10 
+2.3700000000000003e+01 +3.4827022568656128e-03 -1.1350523363565067e+01 +5.0725607518945221e+10 
+2.3800000000000001e+01 +3.4746315554961679e-03 -1.1300362137315007e+01 +4.8463800219503662e+10 
+2.3900000000000002e+01 +3.4664589525330676e-03 -1.1250104681718300e+01 +4.6278552943497879e+10 
+2.4000000000000000e+01 +3.4581842612848419e-03 -1.1199763833973845e+01 +4.4170612690563339e+10 
+2.4100000000000001e+01 +3.4498073786949040e-03 -1.1149352867750538e+01 +4.2141083925323669e+10 
+2.4200000000000003e+01 +3.4413285362462171e-03 -1.1098886802597685e+01 +4.0192500972446075e+10 
+2.4300000000000001e+01 +3.4327480490566466e-03 -1.1048381094534847e+01 +3.8327755621635262e+10 
+2.4400000000000002e+01 +3.4240662322440412e-03 -1.0997851199581344e+01 +3.6549739662536247e+10 
+2.4500000000000000e+01 +3.4152834009262690e-03 -1.0947312573756983e+01 +3.4861344884944572e+10 
+2.4600000000000001e+01 +3.4063998702211860e-03 -1.0896780673081073e+01 +3.3265463078481888e+10 
+2.4700000000000003e+01 +3.3974159552466500e-03 -1.0846270953573212e+01 +3.1764986032884048e+10 
+2.4800000000000001e+01 +3.3883319711205213e-03 -1.0795798871252870e+01 +3.0362805537840187e+10 
+2.4900000000000002e+01 +3.3791482329606532e-03 -1.0745379882139446e+01 +2.9061813382997910e+10 
+2.5000000000000000e+01 +3.3698650558849122e-03 -1.0695029442252684e+01 +2.7864901358150162e+10 
+2.5100000000000001e+01 +3.3604828329777455e-03 -1.0644761863348744e+01 +2.6774383807553028e+10 
+2.5200000000000003e+01 +3.3510022691899868e-03 -1.0594586880131297e+01 +2.5790265294010685e+10 
+2.5300000000000001e+01 +3.3414241474390440e-03 -1.0544513083040457e+01 +2.4911972934850132e+10 
+2.5400000000000002e+01 +3.3317492506423426e-03 -1.0494549062516688e+01 +2.4138933847494408e+10 
+2.5500000000000000e+01 +3.3219783617173069e-03 -1.0444703409000443e+01 +2.3470575149358749e+10 
+2.5600000000000001e+01 +3.3121122635813489e-03 -1.0394984712931825e+01 +2.2906323957757187e+10 
+2.5700000000000003e+01 +3.3021517391518913e-03 -1.0345401564751322e+01 +2.2445607390125729e+10 
+2.5800000000000001e+01 +3.2920975713463582e-03 -1.0295962554899328e+01 +2.2087852563864044e+10 
+2.5900000000000002e+01 +3.2819505430821631e-03 -1.0246676273816055e+01 +2.1832486596317310e+10 
+2.6000000000000000e+01 +3.2717114372767279e-03 -1.0197551311941897e+01 +2.1678936604887794e+10 
